POP_ESND	SEX	AGE	ANNEE2	NB_TOUTE_BACT	NB_LOW	NB_SEPSIS	NB_INF_GRAVE	TX_TOUTE_BACT	TX_LOW	TX_SEPSIS	TX_INF_GRAVE
10341	1	45	2015	66	54	8	15	0,006382361	0,005221932	0,00077362	0,001450537
9886	1	46	2015	38	35	6	11	0,00384382	0,00354036	0,000606919	0,001112685
9772	1	47	2015	59	45	10	25	0,006037659	0,004604994	0,001023332	0,00255833
9741	1	48	2015	58	51	6	18	0,005954214	0,005235602	0,000615953	0,00184786
9842	1	49	2015	51	52	11	20	0,005181874	0,005283479	0,001117659	0,002032107
10009	1	50	2015	59	46	13	30	0,005894695	0,004595864	0,001298831	0,002997302
9888	1	51	2015	75	60	11	23	0,007584951	0,006067961	0,00111246	0,002326052
9740	1	52	2015	57	46	11	22	0,005852156	0,004722793	0,001129363	0,002258727
9421	1	53	2015	72	64	12	28	0,007642501	0,006793334	0,00127375	0,002972084
9244	1	54	2015	72	58	9	25	0,007788836	0,00627434	0,000973605	0,002704457
9296	1	55	2015	77	64	11	25	0,008283133	0,006884682	0,001183305	0,002689329
9084	1	56	2015	91	78	15	36	0,010017613	0,008586526	0,001651255	0,003963012
8929	1	57	2015	82	72	17	33	0,009183559	0,008063613	0,001903909	0,003695823
8657	1	58	2015	109	95	19	34	0,012590967	0,010973778	0,002194756	0,003927458
8679	1	59	2015	110	92	21	37	0,012674271	0,0106003	0,002419634	0,004263164
8458	1	60	2015	103	87	10	37	0,01217782	0,01028612	0,001182313	0,004374557
8525	1	61	2015	130	94	24	49	0,015249267	0,011026393	0,002815249	0,005747801
8315	1	62	2015	120	102	26	48	0,01443175	0,012266987	0,003126879	0,0057727
